frame_of_detection,track_id_1,class_1,track_id_2,class_2,predicted_TTC_seconds
52,10,car,62,car,1.4000000000000001
52,10,car,68,car,1.8
52,11,car,62,car,1.2000000000000002
52,11,car,68,car,1.6
52,18,car,62,car,0.9
52,18,car,68,car,1.4000000000000001
53,1,car,20,person,0.1
53,2,car,10,car,1.9000000000000001
53,2,car,12,person,0.1
53,3,car,12,person,2.0
53,5,car,18,car,0.1
53,10,car,11,car,0.1
53,10,car,62,car,1.3
53,11,car,62,car,1.2000000000000002
54,1,car,20,person,0.1
54,2,car,12,person,0.1
54,2,car,18,car,0.1
54,3,car,80,person,0.1
54,5,car,18,car,0.1
54,8,car,80,person,0.1
54,9,person,80,person,1.8
54,10,car,11,car,0.1
54,11,car,62,car,1.2000000000000002
54,18,car,62,car,0.9
54,33,traffic light,75,traffic light,0.1
55,2,car,12,person,0.1
55,2,car,95,car,2.0
55,3,car,80,person,0.1
55,5,car,18,car,0.1
55,8,car,80,person,0.1
55,10,car,11,car,0.1
55,11,car,62,car,1.2000000000000002
55,11,car,95,car,2.0
55,18,car,33,traffic light,0.1
55,18,car,75,traffic light,0.1
55,18,car,95,car,1.7000000000000002
55,33,traffic light,62,car,0.7000000000000001
55,33,traffic light,95,car,1.5
56,2,car,12,person,0.1
56,3,car,80,person,0.1
56,10,car,11,car,0.1
56,10,car,68,car,1.4000000000000001
56,17,traffic light,62,car,1.2000000000000002
56,17,traffic light,68,car,1.3
56,18,car,62,car,0.9
56,33,traffic light,62,car,0.7000000000000001
57,1,car,3,car,0.1
57,1,car,20,person,0.1
57,2,car,11,car,0.1
57,2,car,12,person,0.1
57,2,car,18,car,0.1
57,2,car,95,car,1.7000000000000002
57,5,car,18,car,0.1
57,8,car,80,person,0.1
57,10,car,62,car,1.4000000000000001
57,10,car,68,car,1.4000000000000001
57,10,car,95,car,1.9000000000000001
57,11,car,95,car,1.9000000000000001
57,17,traffic light,62,car,1.3
57,17,traffic light,68,car,1.4000000000000001
57,18,car,33,traffic light,0.1
57,33,traffic light,62,car,0.7000000000000001
57,33,traffic light,75,traffic light,0.1
58,1,car,3,car,0.1
58,1,car,20,person,0.1
58,2,car,12,person,0.1
58,2,car,18,car,0.1
58,5,car,18,car,0.1
58,10,car,62,car,1.4000000000000001
58,11,car,62,car,1.3
58,17,traffic light,62,car,1.4000000000000001
58,17,traffic light,68,car,1.4000000000000001
58,17,traffic light,95,car,1.4000000000000001
58,18,car,33,traffic light,0.1
58,33,traffic light,62,car,0.7000000000000001
59,2,car,12,person,0.1
59,2,car,18,car,0.1
59,3,car,8,car,1.6
59,5,car,18,car,0.1
59,8,car,12,person,1.9000000000000001
59,10,car,11,car,0.1
59,17,traffic light,62,car,1.4000000000000001
59,17,traffic light,68,car,1.5
59,17,traffic light,95,car,1.4000000000000001
60,2,car,11,car,0.1
60,3,car,12,person,1.9000000000000001
60,3,car,80,person,0.1
60,5,car,18,car,0.1
60,10,car,62,car,1.4000000000000001
60,17,traffic light,62,car,1.3
60,17,traffic light,68,car,1.4000000000000001
60,17,traffic light,95,car,1.2000000000000002
61,1,car,3,car,0.1
61,2,car,18,car,0.1
61,3,car,12,person,0.8
61,3,car,80,person,0.1
61,5,car,18,car,0.1
61,8,car,12,person,1.2000000000000002
61,8,car,80,person,0.1
61,17,traffic light,62,car,1.2000000000000002
61,17,traffic light,68,car,1.8
61,17,traffic light,95,car,1.6
62,2,car,18,car,0.1
62,3,car,12,person,1.4000000000000001
62,3,car,80,person,0.1
62,5,car,18,car,0.1
62,8,car,80,person,0.1
62,11,car,18,car,1.7000000000000002
62,17,traffic light,62,car,1.3
62,17,traffic light,68,car,1.5
62,17,traffic light,95,car,1.7000000000000002
63,2,car,18,car,0.1
63,3,car,80,person,0.1
63,11,car,18,car,1.2000000000000002
63,17,traffic light,62,car,1.4000000000000001
63,17,traffic light,68,car,1.9000000000000001
64,3,car,80,person,0.1
64,17,traffic light,68,car,2.0
64,33,traffic light,75,traffic light,0.1
65,10,car,62,car,1.6
65,17,traffic light,62,car,1.6
66,1,car,20,person,0.1
66,2,car,10,car,1.9000000000000001
66,2,car,11,car,0.1
66,4,car,62,car,0.6000000000000001
66,4,car,75,traffic light,0.7000000000000001
66,10,car,68,car,2.0
66,11,car,68,car,1.9000000000000001
66,17,traffic light,62,car,1.5
66,33,traffic light,75,traffic light,0.1
67,1,car,3,car,0.1
67,1,car,20,person,0.1
67,2,car,11,car,0.1
67,10,car,11,car,0.1
67,10,car,68,car,1.9000000000000001
67,17,traffic light,62,car,1.5
67,105,person,108,person,0.9
68,1,car,3,car,0.1
68,2,car,11,car,0.1
68,8,car,80,person,0.1
68,10,car,11,car,0.1
68,17,traffic light,62,car,1.4000000000000001
68,17,traffic light,68,car,1.4000000000000001
68,17,traffic light,95,car,0.7000000000000001
69,1,car,3,car,0.1
69,2,car,11,car,0.1
69,9,person,105,person,0.6000000000000001
69,17,traffic light,62,car,1.5
69,17,traffic light,68,car,1.4000000000000001
69,17,traffic light,95,car,0.6000000000000001
69,20,person,108,person,1.9000000000000001
70,1,car,118,car,0.1
70,9,person,118,car,0.1
70,17,traffic light,62,car,1.5
70,17,traffic light,68,car,1.3
70,20,person,108,person,1.3
70,108,person,118,car,0.1
71,1,car,105,person,1.3
71,1,car,118,car,0.1
71,17,traffic light,68,car,1.5
71,20,person,108,person,1.1
71,108,person,118,car,0.1
72,1,car,20,person,0.1
72,1,car,105,person,1.3
72,1,car,118,car,0.1
72,2,car,11,car,0.1
72,4,car,17,traffic light,2.0
72,10,car,62,car,1.7000000000000002
72,17,traffic light,68,car,1.6
72,108,person,118,car,0.1
73,1,car,20,person,0.1
73,1,car,105,person,1.5
73,2,car,10,car,2.0
73,2,car,11,car,0.1
73,7,car,8,car,1.0
73,8,car,118,car,1.2000000000000002
73,9,person,118,car,0.1
73,17,traffic light,68,car,1.6
73,20,person,118,car,0.1
73,105,person,118,car,0.1
74,1,car,20,person,0.1
74,2,car,10,car,1.6
74,2,car,11,car,0.1
74,5,car,124,car,0.1
74,7,car,8,car,0.6000000000000001
74,8,car,118,car,1.3
74,9,person,118,car,0.1
74,10,car,124,car,1.4000000000000001
74,11,car,124,car,0.2
74,17,traffic light,62,car,1.6
74,17,traffic light,68,car,1.5
74,20,person,118,car,0.1
75,1,car,20,person,0.1
75,2,car,10,car,1.7000000000000002
75,2,car,11,car,0.1
75,3,car,8,car,1.0
75,8,car,118,car,1.3
75,9,person,118,car,0.1
75,17,traffic light,62,car,1.5
75,17,traffic light,68,car,1.7000000000000002
75,20,person,118,car,0.1
75,33,traffic light,124,car,0.1
75,62,car,124,car,0.2
76,1,car,3,car,0.1
76,1,car,20,person,0.1
76,1,car,118,car,0.1
76,2,car,11,car,0.1
76,2,car,124,car,0.1
76,3,car,8,car,0.9
76,7,car,8,car,1.2000000000000002
76,7,car,125,car,0.1
76,17,traffic light,62,car,1.4000000000000001
76,17,traffic light,68,car,1.6
76,33,traffic light,124,car,0.1
76,62,car,124,car,0.2
77,1,car,3,car,0.1
77,1,car,118,car,0.1
77,2,car,11,car,0.1
77,3,car,8,car,0.9
77,7,car,125,car,0.1
77,10,car,11,car,0.1
77,17,traffic light,62,car,1.4000000000000001
77,17,traffic light,68,car,1.7000000000000002
77,62,car,124,car,0.2
78,1,car,118,car,0.1
78,2,car,11,car,0.1
78,2,car,124,car,0.1
78,3,car,8,car,1.4000000000000001
78,5,car,124,car,0.1
78,7,car,125,car,0.1
78,10,car,11,car,0.1
78,17,traffic light,68,car,1.7000000000000002
79,1,car,20,person,0.1
79,1,car,118,car,0.1
79,2,car,11,car,0.1
79,2,car,124,car,0.1
79,3,car,8,car,1.9000000000000001
79,5,car,124,car,0.1
79,7,car,125,car,0.1
80,1,car,20,person,0.1
80,1,car,118,car,0.1
80,2,car,11,car,0.1
80,2,car,124,car,0.1
80,3,car,8,car,1.9000000000000001
80,5,car,124,car,0.1
80,7,car,125,car,0.1
80,9,person,118,car,0.1
80,17,traffic light,68,car,1.9000000000000001
80,20,person,108,person,1.2000000000000002
80,108,person,118,car,0.1
81,1,car,20,person,0.1
81,1,car,118,car,0.1
81,2,car,11,car,0.1
81,3,car,8,car,1.7000000000000002
81,5,car,124,car,0.1
81,7,car,126,person,0.1
81,9,person,118,car,0.1
81,17,traffic light,68,car,1.8
81,33,traffic light,124,car,0.1
81,62,car,124,car,0.1
82,1,car,20,person,0.1
82,1,car,118,car,0.1
82,9,person,118,car,0.1
82,17,traffic light,68,car,1.6
82,33,traffic light,124,car,0.1
82,62,car,124,car,0.1
83,1,car,20,person,0.1
83,1,car,118,car,0.1
83,5,car,124,car,0.1
83,9,person,118,car,0.1
83,17,traffic light,68,car,1.8
83,33,traffic light,124,car,0.1
83,62,car,124,car,0.1
84,1,car,3,car,0.1
84,1,car,20,car,0.1
84,1,car,118,car,0.1
84,2,car,10,car,1.8
84,2,car,11,car,0.1
84,2,car,124,car,0.1
84,9,person,118,car,0.1
84,62,car,124,car,0.1
85,1,car,3,car,0.2
85,1,car,118,car,0.1
85,2,car,11,car,0.1
85,5,car,124,car,0.1
85,10,car,11,car,0.1
85,33,traffic light,124,car,0.1
85,62,car,124,car,0.1
86,2,car,11,car,0.1
86,8,car,40,person,1.2000000000000002
86,9,person,118,car,0.1
86,10,car,11,car,0.1
86,11,car,124,car,0.9
86,17,traffic light,68,car,1.3
86,33,traffic light,124,car,0.1
86,62,car,124,car,0.1
87,1,car,3,car,0.4
87,2,car,11,car,0.1
87,10,car,11,car,0.1
87,17,traffic light,68,car,1.2000000000000002
87,33,traffic light,124,car,0.1
87,62,car,124,car,0.1
88,1,car,3,car,0.1
88,17,traffic light,68,car,1.5
88,33,traffic light,124,car,0.1
88,62,car,124,car,0.1
89,1,car,3,car,0.1
89,2,car,11,car,0.1
89,5,car,124,car,0.1
89,10,car,11,car,0.1
89,17,traffic light,68,car,1.7000000000000002
89,62,car,124,car,0.1
90,2,car,11,car,0.1
90,2,car,124,car,0.1
90,5,car,124,car,0.1
90,10,car,11,car,0.1
90,33,traffic light,124,car,0.1
91,1,car,3,car,0.1
91,2,car,11,car,0.1
91,2,car,124,car,0.1
91,5,car,124,car,0.1
91,7,car,8,car,1.3
91,8,car,40,person,1.0
91,10,car,11,car,0.1
91,33,traffic light,124,car,0.1
92,1,car,3,car,0.1
92,2,car,10,car,2.0
92,5,car,124,car,0.1
92,7,car,8,car,1.3
92,10,car,11,car,0.1
92,33,traffic light,124,car,0.1
93,1,car,3,car,0.1
93,1,car,20,car,0.1
93,2,car,11,car,0.1
93,11,car,124,car,0.5
